accn,category,date,box_original,box_new,description,
2023.15.03,bodice,1865,15,1C.2,brown silk with peach circles and fringe,
2023.15.04,dress,1875,15,2C.1,navy and cream striped wool with velvet trim,
2023.15.05,waistcoat,1840,15,1C.2,black silk satin with padded chest,
2023.15.06,bodice,1845,15,1C.2,brown with polka dots; missing one sleeve,
2024.01.01,bedjacket,1890,shelf,1D.3,"Very fluffy lace cropped jacket, off-white; will go in 1D.3",
2024.01.02,chemise,1900,shelf,1D.3,"Sheer, woven polka dot voile(?), off-white; will go in 1D.3",
2024.02.01,dress,1927,,,"ivory silk wedding dress with full lace overlay, long train; box labels dated to 1927",
2024.03.01,bodice,1900,,,black satin bodice with lace overlay (from Harper collection),
2024.03.02,skirt,1900,,,black satin skirt (from Harper collection),
2024.03.03,cap,1900,,,black satin (from Harper collection),
2024.03.04,bodice,1845,,,brown wool with tiny print (from Harper collection),
2024.03.05,dress,1935,,,pink lace (from Harper collection),
2024.03.06,gloves,1935,,,purple knit (from Harper collection),
2024.03.07,sash,1935,,,pink chiffon (from Harper collection),
2024.03.08,bathing suit,1920,,,solid black wool knit (from Harper collection),
2024.03.09,bathing suit,1920,,,solid navy wool knit (from Harper collection),
2024.03.10,bathing suit,1920,,,"dark gray wool knit with stripes of purple, green, and peach (from Harper collection)",
2024.03.11,bathing suit,1920,,,navy wool knit with green trim (from Harper collection),
2024.03.12,chemise,1910,,,"fine white cotton with ""EHC"" monogram; Harper's wedding underwear (from Harper collection)",
2024.03.13,underwear,1910,,,"fine white cotton drawers with ""EHC"" monogram; Harper's wedding underwear (from Harper collection)",
2024.03.14,chemise,1910,,,"fine white linen with cutwork embroidery, Harper's wedding underwear (from Harper collection)",
2024.03.15,underwear,1910,,,"fine white linen drawers with cutwork embroidery, Harper's wedding underwear (from Harper collection)",
2024.03.16,veil,NA,,,Ivory tulle wedding veil (from Harper collection),
2024.03.17,headpiece,NA,,,dried floral headpiece --> deaccessioned,
2024.03.18,children's clothes,1920,,,beige satin with beaded overlay and braided trim (from Harper collection),
2024.03.19,children's clothes,NA,,,child's white dress (from Harper collection),
2024.03.20,children's clothes,NA,,,child's pink pants (from Harper collection),
2024.03.21,children's clothes,NA,,,child's smock dress with ducks (from Harper collection),
2024.03.22,children's clothes,NA,,,child's gingham tunic (from Harper collection),
2024.03.23,children's clothes,NA,,,child's gingham shorts (from Harper collection),
2024.04.01,dress,1920,,,Barbara Wiggins's wedding dress,
2024.04.02,bathing suit,1925,,,Barbara Wiggins's childhood bathing suit,
2024.05.01,bathing suit,1920,,,solid navy wool knit bathing suit,
